,message,label
14838,"Hey Tech Expert, I have a question:",0
35275,The protection plan was added to my account without my asking.  Last month someone took it off for me and now it is back on.  Please delete this and tell me the new billed amount,0
31988,I would like to cancel my insurance ,0
23451,Trying to find out if I have Hulu free with my package,0
35299,"Good Afternoon! You have reached your Sprint Complete Expert; my name is Liz. I understand you’d like to remove Sprint Complete from your account. Can you please provide the phone number of the device you’d like to cancel Sprint Complete coverage on today?” 
",0
29820,my husbands phone is not worling properly and i need to know how to start a claim online to gave it replaced. ,0
10724,"hi, i am looking to remove the sprint complete insurance on my apple watch ",0
1512,Activate phone,0
7482,I just wanted to know if there were towers down in my area moved back to my house and keep dropping calls. ,0
40713,I want to remove the protection plan on the new line I added ,0
14646,Nope. ,0
21410,"Hi -  I just got my Sprint bill which has gone up from $117 to $140.   I contacted Sprint and they said it is because I added Sprint Complete.  I never did that, have no idea why it is on my bill and would like to have it and the $23 in charges removed.  The line #PIN_CODE has an Iphone 6 on it -- it doesn't even make sense.",0
9247,No response received. I had agent at sprint.com resolve the issue. ,0
25487,This us my 5th update in 3days. I don't know if this is ,0
21025," Expert Name: Frances Damous
          Assist Type: tech
          Current Search Term: The fix for your frozen phone
          Partner: sprint
          Device: Android
          Message: the screen is completely frozen will not power off ",0
1395,No thank you...the reset worked ,1
19216,What is sprint complete,0
22131,iPhone 11 ,0
39488,I need to remove insurance from an iPad I just removed data from,0
2477,My ringer isn’t working ,0
7632,"Hi, I was sent here because I'd like to remove Sprint Complete from my account. ",0
24118,"I've been having an issue with my phone
",0
28818,I want to cancel sprint complete and also contest the last 60 days of payments for sprint complete as I never asked for this service and was given it on the downlow,0
28230,Hello,0
12202,How do I block number for one of my phones,0
17077,How do I restore my photos once they’ve been erased,0
41841,Hi ,0
1955,Hello ,0
36035,Hi! Can you help me get started with my new phone?,0
37982,Hi,0
13496,They told me log on here to finish the cancellation process of my protection plan,0
40048,Hello,0
34514,Am I eligible,1
15162,Please cancel the $19 protection plan from both the phones on the account,0
24753,"hello, I need help starting a claim",0
26201,Cancel insurance plans,0
4613,Hi! Can you help me get started with my new phone?,0
6440,I am trying to cancel my insurance for 2 phones on my account,0
22719,How do I unlock my Samsung Galaxy Tab A tablet,0
15884,Hello I was just on the phone with one of the representatives and we couldn't we had a bad line couldn't get through each other I was explaining that I just found a claim but my phone died I'm borrowing to you make the claim is pretty messed up and wouldn't allow me to push the right buttons I did file a claim I did lose the phone and it was returned but the screen is now broken and it's not allowing me to push in my code when I turn it on to login do to me and my family having the cold it in work sick right now and in quarantine I'm having to work at home to make a living and not allowed to go around anybody but right now in my situation I don't have enough funds for the deductible but I need a phone to receive a paycheck by the first how can I help me waive the deductible with my situation right now,0
34187,Would like to remove sprint complete ,0
19709,Ok,0
5632,Jonathan was patient enough to resolve my issues! Keep up the good work!!,1
24215,Does my protection plan cover my Apple Watch?,0
27722,Can I talk to you about billing issues?,0
39808,Remove *,0
2116,"Hi it's David again, just checking to see if you still need help? If I don't hear back from you in the next 10 minutes I will need to close out of this session. Just to respect your time.",0
21547,I’m still having signal issues ,0
3414,"Oh ok, thank you, I'll just call apple then",0
20270,How do I know if my phone's been hacked?,0
2673,Why is my phone suddenly roaming at hom,0
31768,Repair a tablet screen,0
331,How do I block calls with no caller ID?,0
2274,Yes ,0
37824,I need to make a insurance claim on the iPhone 11pro max ,0
9656,How do I activate international calling?,0
10701,Good morning. ,0
10666,My phone is saying invalid sim card and at times it says it's locked. ,0
26737,Hello wondering why I have been charged twice this month for service? ,0
17733,"Hi there, I want to remove Sprint complete protection.",0
18235,"Sin señal, sin señal, sin señal. 
",0
19567,Hello ,0
8319,I did a system update I got my internet back,0
7056,How do I transfer my pictures to my new phone?,0
11889,Hello I’m actually trying to cancel my insurance ,0
82,How do I activate my new phone?,0
38591,I have a problem with my phone ,0
20132,How do I activate my new phone?,0
12176,Have a flip phone ,0
32280,Kai Tiffin ,0
18747,Hello,0
12772,My devices are low bars always on mobile network just a few times I will have 3 or more but about 90% of time is 2 bars or less specially when International,0
35122,"My phone will not send, upload or receive pictures ",0
16692,Why can i not delete any photos off my iphone 11,0
5567,my screen broke what is the next step to get it fixed,0
26623,Yes hello I would like to cancel my sprint complete my home subscription ,0
2724,"
I did not request this..I dont want to be charged for something i didnt authorize or agree or download.
If its said to i am  a subscriber..please cancel my subscription
Please send a email confirmed i wont be charged

Thanks
Show quoted text
",0
3381,My husbands  ohone had him do an update now it saysmobile netwirk not available. He has restarted thr phone a couple times. SSN1,0
16148,A few days ago my phone stop letting me use internet while talking on the phone. How can I fix this?,0
41612,I would like to cancel sprint complete on ONE of my lines DIGIT_REDACTION,0
9668,Phone is showing that I am in roaming,0
8393,"Hi, my name is Shanelle and I would be happy to help you out!",0
29,None of my social media apps are connecting to my photos or camera,0
15498,I was told I had to connect with you to cancel ins ,0
18321,"ols disregard Mary, I was able to deescalate",0
29464,"Hello, I am reaching out to remove Sprint Complete from my account.",0
11887,"hey.  I have a galaxy note 10. And I took off my case to clean my phone and case. And I found that I cracked the back of my phone. 

While it's not causing any problems now, and I can cover it with my case. I was wondering what the repair cost would be, and if it can be fixed in a sprint repair store or if I'd have to send it it?",0
26566,I’m tracking my new device ,0
31084,Having issues being able to text / chat with any of your services - keeping saying “message send failure “,0
38470,I need to know if I have a penalty cost for canceling my service from you ,0
4661,The phone is still acting janky,0
23221,Hi! Can you help me get started with my new phone?,0
26864,Hi,0
31523,How do I know if I have insurance on my phone ?,0
32447,How am i able to use interner during calls,0
40151,My phone is not working,0
41817,Hola quiero cambiar mi número de teléfono a otra cuenta ,0
1417,Water damage,0
6301,Hey my rear camera and flashlight are not working. I’ve tried restarting my phone and also deleting and downloading the apps but that still dosent work,0
858,I have no mobile data ,0
11395,"My phone is stuck in boot mode, with the apple logo. I’ve tried a hard reset and it’s not working. ",0
1843,Hello. I was connected with you to deal with a billing issue. My bill this month is much higher than expected. I see 2 instances of $15 for Sprint complete. I don't recall authorizing this charge on my account. ,0
33708,How can I change my user name ,0
13122,I want the insurance plans removed from all phones,0
15692,hello i would like to cancel the insurance on a phone ,0
3313,My daughters phone will no longer turn on after one night of charging,0
12617,"My phone is having issues with the memory card and is not working.  The lease is now up, so i dont want to pay asurion to get a new phone and then pay another 200 just to keep this",0
16067,"Hello, I would like to cancel Sprint Complete for my iphone.",0
10214,I need to active my new sim card,0
12240,Can I pay with sprint mlb,0
36807,I’d like for cancel my sprint complete insurance ,0
22989,I need to remove the protection plan on my bill,0
32383,How do I contact customer service?,0
20959,hello ,0
25015,"Cracked screen
",0
30155,Allo,1
37029,Will the s9+ be replaced with another s9+?,0
16651,Please while my screen isn’t spazzing on me,0
41126,I'd like to cancel my Sprint Complete plan for this phone and one more phone.,0
33817,THE BACK OF MY NOTE TEN PLUS IS CRACKED COULD THEY FIX THIS IN THE STORE OR DO I HAVE TO MAKE A CLAIM,0
20467,Phone service keeps dropping,0
9348,My iPhone is giving me a battery error I have already spoken with apple and did a hard reset the issue was resolved for about 2 hours but now it is having the same issue. I either need a battery replacement or a new phone,0
15055,"Hi there, I'm Telesha!  Thanks for reaching out, and I apologize for you having to wait a while before getting connected to me.",0
34626,Ok ,0
59,I need an assistant with getting my PIN number how to get into my account I can't seem to find it I don't understand where to look but I'm trying to do a Insurance claim on my phone cuz I dropped it,0
15339,hi. I used my Sprint Complete storage to back up my text messgaes but I cant see it on my replacement phone,0
35621,When will I be able to send in a monitor to have it fixed?,0
525,I need help with activating my iPhone. I’ve text for four days now! Getting a little upset. ,0
8135,Thanks you were a great help ,1
18973,hello,0
11548,Need to cancel my Sprint Complete ,0
5549,My cloud storage isn’t backing up the pictures,0
27587,Back of phone cracked,0
476,How can I get the call screener app for the android version ,0
28195,Hello Henry! You still there?,0
22871,I like to know how to keep my I cloud from getting full,0
13378,Phone was stolen,0
2485,She already has helped me. Thank you,1
3070,I need to get the insurance charges of $15 and $2.50 monthly removed ,0
27634,When am I eligible for a new phone?,0
38891,hELLO,0
19664,When will I know when they are coming to fix my screen,0
29225,"Hi there, I would like to remove my sprint complete",0
40166,The heart app on my iPhone seems to be locked on July 16. It will not update my activity to the current date,0
34954,I need a status update,0
19710,How do I scan. QR code with my phone?,0
41197,"if one of our phones on our plan needs a screen repair, does our sprint store in walla walla ZIP_CODE repair screens?",0
1086,I’m having problem with my phone again. ,0
18685,My phone was stolen and I need a replacement,0
34428,How do I activate my new phone?,0
29915,Why are all our calls being dropped we are very long time customers ,0
20651,I can get into My Sprint App or into my Sprint account from this phone.  My wife can’t connect to internet.,0
39651,Im trying to terminate my serbice,0
25570,Need to verify my apn,0
13395,new phone saying activation process not complete. I am writing from my prior phone. I,0
34332,Is the new T-Mobile scam alert app available for my cell phone?,0
3375,"Cancel insurance
",0
14389,i had my laptop repaired and tgey left dirt and hair behind the screen that i can see on my screen while its illuminated and on powering it up it was unresponsive a few times leading me to have to hard restart it,0
35972,hello?,0
1430,Insurance on the apple watch,0
28367,What pass code do I need to update software ,0
23921,I want to remove Sprint Complete from SSN4,0
4538,I can't make any calls since Friday ,0
1511,Hi! I would like to have the insurance removed on two of the lines on our phone plan. Can I have some assistance with this please?,0
28018,My phone is showing I have no service.,0
20568,Need to make claim phone isbroke,0
21760,I need to cancel my insurance so I can bring my bill down to more affordable,0
14008,dropped phone and screen cracked.  Where can I take it to have screen replaced today 😩 ,0
34967,upgrade my phone ,0
1751,"Every Since I Cut a Phone line from my account. They sent me a software update & my phone has been acting Crazy. It's extremely Slow,Buffering Offten, No GPS Signal & Drop Calls..",0
23420,Cancel my insurance ,1
39043,I’m trying to activate a phone to one of my lines,0
11539,My charger port isn't working properly for my Samsung galaxy 10 plus,0
14122,iPad damaged,0
30096,Hello,0
6592,"I was able to get the phone replaced  
And I had to call sprint for the exact date for the tablet ",0
15780,Reportar un cell perdido,0
38898,When does my contract and lease expire,0
26563,Hey I need to cancel my of both phone insurance,0
3199,I need to speak with someone ,0
40271,How do I take a screenshot?,0
27256,Yes,1
1459,Hello,0
1469,My sprint omadm is and it is saying checking device status,0
8284,How do I find out if my gps i,0
18390,hi i need to remove a service from one of my lines,0
9293,Need screen repair ,0
8526,Here,0
37364,Does my sprint complete coverage help me if my phone is malfunctioning?,0
37942,Device payment,0
18744,need to cancel insurance on two lines,0
18070,Yes,0
28802,How do I activate my new phone?,0
24186,I have a missing phone that no one at sprint can,0
33497,need to cancel insurance off of phone number SSN0,0
32210,Why is my Internet not working?,0
6622,My account was added with Sprint Complete for my two IPhones. I want Sprint Complete removed from both devices and my account,0
39204,No you’ve been helpful. Thanks.,1
14688,Since I have an apple product do I need to register the device with apple?,0
38289,"My phone drops calls all the time now and has not done that in the pass 
",0
13381,Hi! Can you help me get started with my new phone?,0
33514,good evening. I'm having network issues.,0
39575,How do I get my screen repaired?,0
28800,Yoooo,0
26064,Bill,0
40514,I lost the return label for the phone on number SSN4 ,0
8793,I’m not understanding what sprint complete is,0
17764,Can I cancel my claim and take it to store?,0
26999,i would like to return phone.  the note 20 to release,0
16339,Of course,1
41319,Is there a charge ,0
6729,need to cancel insurance,0
965,I was wondering how do you file a claim ,0
6820,My replacement device arrived I need to activate it ,0
23199,Manufacturer warranty issue,0
9182,"Hey Tech Expert, I have a question:",0
13369,My phone recently started dropping calls,0
644,Hi,0
10184,"Hello there! I am looking to remove the Sprint Complete Protection service from my devices, can you help me with this? ",0
39437,all good ty so much,0
36222,I would like to cancel the insurance on a phone.,0
23598,Hi I am trying to setup my username for Tidal but it’s not accepting the PW I need to know the requirements to setup PW,0
15077,Can’t make phone calls.  ,0
6246,I want remove my insurance if my iPhone ,0
35174,"I forgot that I was paying for this, now I'm just trying to figure out how to login",0
1963,I want to cancel the Sprint Complete plan on phone number DIGIT_REDACTION.  I called Sprint customer care and was provided with a phone number for Asurion but I was directed back to Sprint customer care.  I am a Sprint/T-Mobile employee. ,0
287,I do not have service anywhere.,0
33059,Repair cracked screen,0
38349,How can I upgrade my phone?,0
498,Hi!  I would like to remove sprint complete from two lines on my account.  The number ending in 8295 and 6833.  Are you able to do this for me?,0
34337,Phone repair appointment ,0
31648,"I’m having trouble with my phone, it constantly gives me a message that says caldiv.calendar.yahoo.com and then my phone won’t work properly ",0
25882,All my stuff in my home screen disappeared.. what happened? How do I get it back,0
10255,Activate the new phone ,0
14878,How do I get my screen repaired?,0
28893,How can I transfer my photos from the Sprint Storage application to my hard drive?,0
16163,I would Like yo check the status of my phone I sent In for screen repair ,0
4691,I gave an old phone to a friend and i need to know if ifs unlocked,0
17674,"I don’t want device insurance on the devices on my account. Can I get it removed and get a refund?
SSN
",0
40945,Transfer phone contacts between phon,0
2335,Both of my cell phones are not receiving or sending phone calls?,0
1807,"How many times do I have to connect with you people to get you to understand mine & my husbands service do NOT.  Work! Every technician thinks it’s fixed and still poor service!!! Calls go silent multiple times in one call, some phone calls will not even connect, no safari except when home on WiFi and the worst of all I can not get my husbands Deacon data on my phone while away from our house. Medical issues have been interrupted while trying to speak with physicians. I’m beyond frustrated!",0
551,cancel my sprint complete,0
25074,My Xbox is not working. Will this be covered to get fixed or replaced?,0
2898,Having difficulty with the internet ,0
12415,I need to cancel my claim,0
3112,I can’t get in to my email and none of my mail is showing up on my new phone,0
41852,Call screener,0
23188,Not getting calls or text ,0
15718,Need help with my magic box ,0
14673,"If I have added Sprint Complete to my iPad plan, how much would it cost to repair a cracked screen?",0
31466,Check ,1
352,Iijgo,0
3124,"Hey Tech Expert, I have a question:",0
10791,hi i would like an invoice for June and July,0
27430,Hello. I have a Samsung Galaxy S9 Plus. I it is dying too fast. Can you help me with this problem?,0
24714,Promociones ee,0
5606,I have a laptop that needs to be fixed that wasn’t bought through sprint. ,0
22665,I haven't had service or am in roaming at all times. I have never had problems with service before. ,0
36683,I keep getting dropped calls ,0
21900,How much mobile hotspot do I have ,0
2843,Hi! Can you help me get started with my new phone?,0
13962,Please check my cell signal,0
17572,"Hi, my name is Jonathan and I would be happy to help you out! What can I assist you with today?",0
37499,When am I eligible for a new phone?,0
5038,"Hello , I would like to end my plan I’m not interested at the moment right now.",0
38548,Need help with my S20 plus.   Not getting text alerts from most of my contacts.  Except for 5 people ,0
7275,My phone dlipoed out of my hand and my screen is broken. I have  Insurance and i would like to know where i can get it replaced ,0
33078,my new a21 won't connect to anything bluetooth,0
28926,I need to cancel monthly hardware protection on my 3 lines,0
22141,My tablet is not receiving text messages ,0
5285,How can I get a credit application,0
1280,Hi ,0
27048,I need to confirm my Sprint plan discount,0
35501,ok,0
38461,My camera is still not working,0
35743,Hi! Can you help me get started with my new phone?,0
13831,Phone repair ,0
34851,"Out of three times he called me, only one went through.",0
23591,Representative,0
37067,The staff was quick and professional.,0
26794,iCloud storage,0
39397,How do i unlock spending limit on my phone,0
7191,Hulu is working ,0
5675,The app store will not load??,0
26368, Call screner,0
4117,Hi! Can you help me get started with my new phone?,0
13095,Hello,0
12601,how do i activate my phone,0
39200,The outer glass on the camera is broke ,0
29503,I need to know with my insurance on my phone how much a repair will be,0
20340,I  just received a call saying my acct wa,0
6704,You as well,1
39126,I'd like to increase # of rings I receive before incoming calls go to voicemail and am unable to figure out ,0
23487,remove insurance,0
7637,I would like to remove sprint complete on this phone,0
23720,Yes sorry,1
36860,I still need help. I just got the notification ,0
11881,Hi! Can you help me get started with my new phone?,0
14313,id like to cancel the insurance on 2 of the numbers on my account,0
25267,Yes,1
12644,Hi I wanted to remove my sprint compete package on my bill,0
26463,"Thank you very much, take care.",1
24176,Hi sorry I had to leave,0
34161,how much to repair cracked screen,0
22087,"Hi there, I'm Olivia! I'd be happy to help. What can I do for you today?",0
9199,Looking for status of my phine repair,0
19563,Can you please restrict my incoming calls please,0
38965,Hi! Can you help me get started with my new phone?,0
28504,Please remove Sprint Complete and refund any charges previously charged to my account.  I never signed up for the service.,0
10084,Moisture detected message,0
36993,How to swap phones ,0
38697,How do I setup my amazon prime with sprint,0
19632,Trying to get a reset on my Apple phone,0
20084,How do I improve my data connection,0
12539,"Are you sure? the motherboadr wasn't damaged, there is an issue internally, the device hasn't been physically damaged at all and wasn't exposed to water, would it still be physicfal damage?",0
3938,That will be all thank you,0
4483,My SIM card isn’t working ,0
28040,Remove sprint complete ,0
2809,Hi! Can you help me get started with my new phone?,0
28173,I was on chat earlier with someone like,0
5711,Hey,0
41091,How do I reset ,0
35482,"hi were good , need to contact RSG please close the chat thank you",0
28904,Yes I tried they didn’t help they said reboot phone ,0
13148,"Insurance was added to the new phone that I purchased last week.  I didn""t ask for the service and now it is showing up on my bill. Frustrating.",0
14402,I'd like to remove device protection on the galaxy s7 ,0
30367,T mobile ,0
13532,How do I file the claim for stolen phones,0
27972,I keep getting a no sim card message. ,0
3118,Thank you! You do the same! Stay safe and healthy!,0
7617,I need help getting my replacement watch,0
41827,Is there a signal booster that would improve my phone reception in my basement office?,0
10175,Not getting texts. Phone extremely slow,0
32345,is a cracked screen in a lcd tv covered by Complete MyHome?,0
14596,Don't have cell phone signal ,0
12207,What is the exact coverage under here? ,0
31553,Hi,0
23439,Question about payment,0
27216,For some reason none of my pictures or videos will load. Is their a reason why? ,0
21528,Hi,0
4767,Hello,0
12386,Cancel sprint protection plan,0
15321,Hi! Can you help me get started with my new phone?,0
21907,I need my iwatch repaired not replaced,0
34644,How can I deactivate cell service on my two Apple watches?,0
7634,Hi I want to cancel my phone insurance please ,0
1635,I am trying to find a repair location with an iPhone screen in stock,0
24221,Chat,0
6546,How do I set up my voicemail?,0
18028,Are you a robot,0
10850,"Hi, I would like to cancel my Sprint complete",0
16927,Sprint Complete was added to my new S10+ device but should not have been.  This needs to be removed,0
19767,Trying to sign in to Google Play Store on my new phone. I already entered my password and used GMAIL,0
36892,ok thanks so much  for your help ,0
27542,No,0
18122,how many unused credits do i have and can i use those credits towards accessories,0
16023,My account ,0
21283,Upgrade eligibility? ,0
10746,Can I watch Hulu ,0
20875,I am in FL. Still getting pacific coast time and I have power cycled my phone. Also only getting 3g,0
30463,My text notifications don't make a sound,0
12572,"Hello, I am reaching out to remove Sprint Complete from my account.",0
21307,Add Sprint Locator,0
6300,K,0
14450,"Hi, I'd like to remove sprint complete from one of my lines",0
35158,I'm interested in the home plan,1
35139,"Can you reset the signal on my phone? My phone has been having a lot
Of trouble getting signal. I usually have to turn off my phone or place in airplane mode ",0
6363,"My bill is past due . Can i make a partial payment to get my service back on
",0
41618,"Hi, my name is Dinitria and I would be happy to help you out!",0
12570,Backup says cant authenticate phone,0
1575,"I have had a moisture detected message for the charging port for the past 24hrs. 

Phone never came in contact with humidity or moisture.  Will not allow me to charge with normal charger. Have reset the phone. Powered off and still does not go away",0
29615,"Hi, my name is Misty and I would be happy to help you out! May I have your name please?",0
20342,Hi my closest Sprint store is closed can I mail my phone in for repairs,0
33191,How do i check Backup storage to insure  that,0
34492,Follow up claim,0
4915,I need my voicemail to work ,0
27065,How do I activate my new phone?,0
728,Would like to get more info on the Sprint Complete,0
23781,How do I know if I have apple care coverage ,0
11954,you too,1
15968,How do I delete a bluetooth from this phone?,0
24665,I need the insurance cancelled on 2 phones on my account. (779) 225-4563 and (815) 955-7863,0
14361,How to get the apps I use the most in the same place on my p,0
12098,"My bill

",0
260,I need an issue resolved. I have called numerous times on this issue and it is still not fixed,0
17313,My son’s phone has not been working for 3 days. My phone updated itself late Thursday night and his must be still updating because the Apple icon is still on his phone. I can’t turn it off or anything. ,0
643,"Hi there, I would like to cancel Sprint Complete on my phone plan",0
4441,I want to remove my speint complete off my plan,0
7182,Hi 👋 ,0
6547,I have been laying for sprint complete ,0
35146,"Hi, I had cancelled my insurance a few months back and it was never done",0
8954,Hello I need some help,0
39890,My replacement device is a hotspot not a phone.  ,0
17207,Can you remove the monthly insurance from my account?,0
24250,Thank you,0
26736,Hello ,0
40181,both my outer screen and my inner screen are damaged. how much would it be for repair or would it be better to replace?,0
8372,I want to remove sprint complete from line SSN6,0
25386,Hello my Apple Watch isn’t connecting to the sprint cellular network,0
10097,My voice mail is not working ,0
8752,My plan is supposed to be unlimited￼,0
13634,I still being billed for insurance on a phone that I lost a year ago but still paying for the line and the phone. I don't think its fair to pay for insurance I havnt had use for over a year.,0
30478,Yes,1
34001,Phone voice and connectivity issues,0
29608,Why is my 4g speed only 2mbps down? ,0
30965,Hey I was just talking to Ana I believe her name was my claim number is SSN327 and I can’t get my speaker to work at all so could we go ahead and do the deal where you guys send me a temporary phone while I send mine in ,0
29540,"Sprint and T mobile merger, how can I update my phone to this service?",0
28738,"Sorry, missed you. The problem has not been solved.",0
19906,My husbands loaner phone is not working.,0
18787,Hi I changed the setting to lte off and the data /internet would not work at all how should that be please,0
25342,"Apparently I need to contact you to cancel my insurance on my new phone, which I never asked for.",0
24308,"yes, I would like to remove my monthly protection plan off of my account
",0
24218,I am having an issue with my camera on my phone,0
38901,I just received my iPad Pro 12.9 and need help to activate it,0
9795,It says invalid SIM,0
9775,How do I back up my phone?,0
33238,I need tech support ,0
6902,I'd like to pay off my contract and each number stay with each individual how do I do this,0
25067,I have a problem with my phone. Running hot and cutting off,0
9400,"Thanks for reaching out! Before we connect you to the most suitable Tech Expert, can you please tell us your name?",0
3474,"Pay my bill
",0
21799,What's my account number?,0
8252,i was just trying to figure out a place to bring my phone to have the screen fixed. Having a hard time locating a sprint repair store,0
12117,Can you tell me what date coverage started on my iPad Pro 11 inch. Phone number ending in PIN_CODE,0
7664,I just upgraded to iPhone 11 and my old messages did not transfer how do I get them back to my new phone?,0
33596,My screen cracked,0
28225,can I cancel the sprint complete insurance on one of my phone lines please,0
40980,Same to you ,1
12635,I am trying to find out the cost to repair the back glass on my s10plus. I am about to upgrade the device and figured that i would be required to fix the crack on back of the phone,0
22891,Pay bill,0
14123,How do I set up a video chat?,0
10849,Having lots of trouble today with my connectivity. I seem to be getting 3-g only and no LTE. Lots of missed calls,0
24076,cancel ,0
13765,Surface scratches. ,0
10031,hi,0
23426,I want to add protection to my iPhone ,0
7998,There was an accidental charge on one of our phones a few mins ago. Is there any way to get that taken off and cancelled?,0
40674," I was hoping for a transcript of every text, phone numbers calls and messages sent and received ",0
11344,I'm still having problems with this phone!,0
11838,I still have a problem ,0
14840,Hello.  I would like to cancel insurance for the following cell phone lines. 860-680-7144 and 860-680-7144.  And I want to confirm that the insurance was cancelled previously for line 860-391-9442.  ,0
24216,I never wanted sprint complete or insurance of any kind and I was told to come here to remove it. I haven't even had the phone that has this service for 8 months and was told it was taken off now they are saying I have to do it through you and have been lying to me about taking it off for 8 months.,0
29988,Hi I just added a line today and te phone isn’t working,0
658,How do I control my devices ?,0
15864,hey I was trying to cancel the insurance on my tablet,0
41857,Hello I would like to cancel the insurance for my two phones.,0
24779,my wife's phone with the phone number DIGIT_REDACTION cannot send or receive calls.  There is no network available.,0
7583,I just want a new number ,0
9023,Hi this is Phyllis again. If my pictures are stored in ICloud how can I print them from Walmart?,0
35057,Troubleshooting network issues with galaxy watch active 2,0
36834,Hi! Can you help me get started with my new phone?,0
36584,"Thank you, no questions at this time . Just checking this out. 😀",1
6057,How much is a cracked screen repair if,0
27079,My screens cracked,0
38684,"Hi, I just payed my device in full, and would like to eliminate the $19 charge for phone protection going forward.",0
35766,I have insurance on my watch and on all my devices actually and when I went to the office that I always go to they told me that Best Buy would help me but apparently I don’t have AppleCare on my watch but it was never offered to me I assumed that they just put it on it I bought my watch less than 60 days ago why exactly can I not get it fixed this is ridiculous I’m wicked upset right now,0
29042,I wish to cancel the Sprint protection for my phone 919429-1119 and 919429-1118.,0
19063,How much is it to change my number ,0
21272,I want sprint complete taken off my plan,0
18443,I have an insurance question ,0
3601,I asked on my last months bill to cancel three insurances on phones and it wasn’t done and I paid for it and it’s still on this months also,0
41474,"I am new to sprint and brought my number and phone, why was i not informed about the unlimited kickstarter plan?",0
35219,"The screen on my tablet is broke

",0
13079,How do I take a screenshot?,0
27189,Hello ,0
33883,My screen cracked and need it repaired ,0
39606,My phoneis not working,0
2094,i accidently just added the 19 a month spring coverage,0
11336,How do I get my screen repaired?,0
36154,Hello I am getting some weird text about a $.25  charge to a landlines. Can you explain?,0
21,Sure,0
13078,I would like to cancel the Spring Complete for DIGIT_REDACTION,0
13588,Hello.,0
28077,how  do i go about adding insurance to my plan,0
13109,"Hello, I am reaching out to remove Sprint Complete from my account.",0
14548,How do I back up photos,1
11104,how do I get sprint call s,0
